month,active_investors,continuity_3m_rate,continuity_6m_rate
2024-01-01,1004.0,0.0,0.0
2024-02-01,1024.0,0.0,0.0
2024-03-01,1034.0,0.04642166344294004,0.0
2024-04-01,1035.0,0.06183574879227053,0.0
2024-05-01,1016.0,0.07283464566929133,0.0
2024-06-01,1021.0,0.05680705190989226,0.0019588638589618022
2024-07-01,1074.0,0.06424581005586592,0.000931098696461825
2024-08-01,1012.0,0.05731225296442688,0.0
2024-09-01,997.0,0.04012036108324975,0.0020060180541624875
2024-10-01,1026.0,0.04580896686159844,0.0
2024-11-01,1000.0,0.053,0.0
2024-12-01,1027.0,0.043816942551119765,0.0009737098344693282
2025-01-01,1075.0,0.05116279069767442,0.0
2025-02-01,942.0,0.054140127388535034,0.0010615711252653928
2025-03-01,1042.0,0.046065259117082535,0.0009596928982725527
2025-04-01,970.0,0.05257731958762887,0.002061855670103093
2025-05-01,1048.0,0.04770992366412214,0.0
